text,sentiment
อิโควิด กูไม่ได้โกรธมึงเท่าไหร่กรอดนะ มึงก็แค่ทำมห้สุขภาพจิตกูแย่ ไม่ได้ไปเรียน อจวไม่มีลาสคอนที่แฟนคลับไปดูได้ อจวไม่มีโอกาสมาจัดคอนที่ไทยอีก อจวไม่มีโอกาสได้เจอแฟนคลับบ่อยๆ แล้วยังมาติดลูกกูอีก อย่ามาเก่งนะ,anger
กุอยากด่าอิติ๊กคำนั้นมากจากใจเลย แต่ถ้าพิมออกมามันก็รู้สึกผิดอีกอ่ะ สำหรับชั้นอิติ๊กมันถึงขั้นนั้นจริงๆ คนจะดูไม่จบเพลง ไม่อยากช่วยสตรีม กุเข้าใจทั้งหมด เป็นเพลงที่ฟังแล้วเหนื่อย ทรมาน ไม่จอย ค่ายมันแกง 127 กับติ่งมาก กุโกรธ กุแค้น กุไม่มีวันให้อภัยอีเอดเอมเรื่องนี้เด็ดขาด,anger
ดูละโกรธมากสัดอีพวกนี้,anger
มึงทำไปเพื่ออะไร ทำไมเหี้ยขนาดนี้อ่ะ ไม่ได้ต่างจากขโมยเลยอ่ะ อุบาด สมควรโดนกฎหมายเล่นสุดละ แต่กฎหมายกลับไม่ทำเหี้ยอะไรกับคนพวกนี้เลย แย่อ่ะ กูดูคลิปแล้วได้แต่โกรธแม่ง,anger
ว้อยอีเหี้ยกุอยากทุบ,anger
ลอกงานกุเก่งมากอีสัสคิดเองบ้างเหอะเย้ดแม่,anger
ถ้าให้กุตื่นตีสี่มาดูพวกแกตกรอบกุโกรธจริงๆนะ,anger
นอนไม่หลับจริง โกรธจนอึดอัดในอกไปหมด,anger
เมื่อไหร่ที่ใส่หูฟังแล้วเปิด noise cancelleation นั้นหมายความว่า . โกรธชิบหาย . รำคาญสุดๆ. ไม่ต้องการรับรู้. อยากอยู่คนเดียว,anger
ควยเอ้ย โกรธชิ้บหาย แม่มึง ไม่รู้อะไรสาระแนสไลด์หน้ามาพูด กะหาเรื่องให้เด็กจากเพลดิสอย่างเดียว เปนเหี้ยอะไรนักหนา ไม่อยากจะแช่งแบบนี้ เพราะรู้ว่าวงแตกแม่งเจ็บ แต่อยากให้วงพวกแม่งแตกไวๆ หน้าสัด,anger
นิสัยเรา ขี้อ้อน ขี้งอล ขี้น้อยใจ ขี้งอแง เอาแต่ใจตัวเองนิดๆ นิสัยเหมือนเด็กน้อยทั้งที่โตแล้ว จะบอกว่านิสัยพวกนี้เราเป็นยันเรียลเด้อ เพื่อนๆทุกคนรู้5 ่เวลาเราน้อยใจหรืองอล ก็จะชอบอือ หรือไม่ก็ตอบนิ่งๆไปเลย อยากบอกว่าอย่าโกรธเราเลย แง เราขอโทษไว้ก่อนเลยนะ,anger
ถ้าตอบสั้นอย่าโกรธกันเลยกูง่วง,unclassifiable
จริงค่ะ เค้าชอบความสัมพันธ์คู่นี้มันน่ารัก ไม่ได้คลุมเครือโกรธกันไปมาขนาดนั้น ยิ่งตอนที่ไปเดตกันนางน่ารักมากๆ มันให้อาร์มณแฟนสาวจริงๆ ตอนรูบี้ร้องไห้เค้าแอบร้องตามคือมันเจ็บจริง สงสารนางอินสุด,unclassifiable
พวกที่ไม่เคยเห็นความพยายามของเค้าก็หุบปากไป!!็นอะไรแบบนี้แล้วโกรธมาก ไม่ก็บอกด้อมตัวเองดีกว่าปังกว่าแล้วมาบรัฟอะ เป็นเหี้ยไรค้านี่ยังไม่เคยไประรานด้อมคนอื่นเลย จะมาปากดีเพื่อ,anger
อีเหี้ย เหี้ยมาก ในสถานการณ์แบบนี้ ชั้นแค่ดูคลิปยังร้องไห้เลย มันลำบากมากนะเว้ยช่วงนี้ แล้วคุณลุงจะโอเคมั้ยอ่ะ ทำไมทำขนาดนี้อ่ะ แม่ง โกรธชิบ ฮื่อออ,anger
กุเริ่มจะโกรธแล้วอ่ะ มาบลัฟอะไรเมนกูอะ งง ไปทำไรให้วะ,anger
เอาจิงตอนดูทีมว้อนเต้นที่ต้องเต้นเลียนแบบอีกทีมละเห็นเอมม่ารับผิดชอบเต้นบีบอยคือเข้าใจเลยที่เต้นไปโกรธไป อีกทีมคือมีนักเต้นที่เขาเต้นมา 6ปีแต่ทีมตัวเองฝึกเต้นแค่ไม่กี่วันเองแล้วแบบเห็นเข่าเจ็บเข่าช้ำแล้วก็เอ็นดู,anger
อย่าว่าเพลงติ้กเก้อได้ป้ะกุโกรธนะ ไม่ชอบก้อยู่เงียบๆไปก้ได้มั้ยอิชาวเน้ต รำไยหว่ะ,anger
พี่ดูแลมาเต็มที่ตลอดอะไม่ใช่แค่นี้หรอก ขอบคุณค่ะที่ยังคอยบอกกันตลอด รู้แหละว่าที่พูดที่โกรธเสียใจเพราะพี่รัก,unclassifiable
"เด็กหนุ่มผมเงินเหมือนจะยืนลังเลอยู่ครู่หนึ่ง แต่สุดท้ายเจ้าตัวก็ถอนหายใจ ยอมห��นหน้ามาเผชิญกับเขาอยู่ดี ""เราเปล่าโกรธ"" อีกฝ่ายพูดแบบนั้นทั้งที่หลุบตาไปมองพื้นแทน ูยังไงก็กำลังโกหกชัดๆนะ ""ถ้างั้นทำไมไม่ยอมคุยกับฉันดีๆเลยล่ะ..."" เบนเน็ตหรี่เสียง��่อนลงอย่างเศร้าใจ",unclassifiable
คิชิ : อิวาฮาชิน่ะชอบเล่นตลกบื้อๆ เช่น เอาสติ๊กเกอร์แปะหลังคนอื่นแล้วก็หัวเราะ แต่ผมไม่ได้บอกให้เขาหยุดเล่นหรอกแม้ว่าจะโกรธและน่ารำคาญก็เถอะ,unclassifiable
พระเอกเรื่องนี้คือทั้งเรื่องมีแต่หน้านิ่งบึ้งโกรธ บางทีก็อยากเห็นหน้าตอนเคอะเขินนายเอกบ้างอะนะ…,unclassifiable
ถ้ากูส่งไปเขาจะโกรธปะวะ,anger
โอเค เราหายโกรธ,unclassifiable
เค้าก็อยากเห็นเธอในทุกมุมนั่นแหละ มุมโกรธ มุมงอน มุมน่ารัก มุมอ้อน กุแบบ เห้อ,unclassifiable
กูตอนหงุดหงิดน้องมากๆแล้วน้องพูดว่า พี่เจคงับ เค จบ มันก็ยังเด็กอะ จะไปโกรธอะไรลงวะ,anger
เมื่อก่อนจะโกรธเพื่อนมากเวลาเพื่อนเอาปากกาแดงเขียนชื่อเรา5ี้น่ะเหรอ สีอะไรก็เขียนๆไปเถอะ ขอแค่อย่าเขียนผิดก็พอ,anger
ไม่รู้ว่าขอพรเรื่องอะไรแต่ขอให้มันเป็นจริงนะ โกรธแค่ไหนก็ใจอ่อนยวบทุกที ไม่เข้มแข็งเลย,unclassifiable
ไม่ง้อด้วย อันนี้ก็น่าโกรธ แต่โทนี่น่ารัก พกทรศ.เครื่องนั้นไว้ตลอดเลย โฮร,unclassifiable
มันรสแย่ตรงถ้าเป็นงั้นตริงไม่ฌโกรธแต่เสียใจเพราะกูเห็นเปนมิตรภาพที่ดีคนนึงคิดว่าจะปล่อยผ่านกับเรื่องแบบนี้สะอีก,anger
ฉันไม่ได้โกรธ ฉันไม่ได้เสียใจ แต่ฉันเห็นใจเขา เขากลัวการรักใครซักคนอะแก เขาไม่กล้าเต็มร้อย ทำไมคนที่ดีขนาดนี้ต้องเจออะไรที่ทำร้ายใจ ฉันอยากกอดเค้าที่สุดเลย,unclassifiable
บอกว่าไม่ใช่ครอบครัวแต่ยังแคร์เขา นายเป็นไรอะเท็น เฮ้อ. . แต่ก็โกรธพี่ไม่ลงจริงๆ,unclassifiable
เพราะน้องแมงไงจะโกรธก็โกรธไม่ลง กลืนไม่เขเาคายไม่ออก,unclassifiable
พี่ชอบเมนโวคอลมาก แบบเขาควรไชน์ตั้งนานแล้ว แต่เอ็มเน็ตไม่ให้ซีน โกรธ,anger
โกรธพี่อัธกร โป้ง ไม่คุยด้วยสามวัน :-(,anger
คือก็ไม่ได้โกรธแต่ไม่อยากยุ่งด้วยไง,anger
ทำไมถึงทำแบบนี้วะ กุโกรธอะ โกรธมาก กว่าเขาจะขายได้แต่ละบาทมันไม่ง่ายเลย อีเทศกิจหัวควยพวกนี้แม่งก็เอาเงินคุณลุงไปหมด สงสารคุณลุง,anger
ใครบังอาจมาว่าลูกซาร์ไม่หล่อ! เดี๋ยวป๊ะป๋ากลัฟจะโกรธละนะ! คือไม่ยอมเลย ดูตอนตอบไม่ได้ดิ,anger
โกรธเพื้อ,anger
เห็นอะไรแบบนี้แล้วโกรธสัด มึงมาหยิบเงินเขาไปหน้าด้านๆได้ไง,anger
เวนติใครด่าก็ไม่โกรธอ่ะเอาจิง 555 น้งคลีเรียกไอ้หูหนวกยังไม่แก้เลยชอบด้วย ถถถ,unclassifiable
โซโลไม่เคยโกรธเลยเวลากัปตันไปก่อเรื่อง แต่โกรธเพราะลูฟี่มันไม่ยอมชวน ตัวเปิดตัวตามสุด ไม่มีใครห้ามใคร กุชอบมาก,unclassifiable
ปิดสเปซทิ้งผมเเล้วจะไปรีคอลหรอครับ กดโกรธ,anger
อันนี้คือโกรธอะ โกรธแบบจริงจัง ทั้งโกรธทั้งหดหู่ จะว่าทำตามกฎก็ไม่ควรไปหยิบของคนอื่นตามพลการไหม!,anger
โกรธโควิดอ่ะ แต่โกรธอีตู่มากกว่า,anger
"โกรธเด็กเกเรมากค่ะจังหวะนี้ หนีไปนอนแล้วนะคะทุกคน แล้วก็ ""รักนะคะคุณนักเดินทางที่รัก""",unclassifiable
สมเพชตัวเอง กินขนมไป น้ำตาไหลไป พระเจ้าโกรธอะไรกุ ทำไมถึงสั่งให้ยาดมไหลเข้าจมูกกุอ่ะ มัน,anger
ก โกรธแล้ว.. น่ากลัว..- ขอโทษครับ ! จะไปนอนแล้วครับ ฮื่ออ,unclassifiable
โกรธ,anger
อีเหี้ย โกรธจนมือสั่น,anger
แหะ ๆ ..นิดหน่อย..น่ะครับ แต่ก็จะไปนอนแล้ว เพราะฟูตะคุง โกรธ..,anger
เรื่องผิดพลาดเอาจริงๆคือมันต้องแยกไปเรื่องๆไป โกรธเรื่องนั้นคือเรื่องนั้นโกรธเรื่องนี่ไม่ใช่ไปเกลียดเรื่องนั้น โกรธเรื่องนี้ก็เอาประเด็นนี้มาพูดที่เป็นกรณีที่ผิดจริง ก็เป็นเคสบายเคสไป ไม่ใช่เกลียดเรื่องนี้ไปตามเหยียดเรื่องนั้น ความผิดพลาดก็มีอยู่แล้ว แต่มันคนละเรื่องกันไง ควคยย,anger
ลันกะเรกิช่วงหลังๆให้ฟิลเหมือนแฟนเวลาโกรธกันเลยอะ,unclassifiable
คือดีอธิบายไปดีเหมือนแก้ตัว แต่ไม่ได้แก้ตัว ดีผิดจริงๆที่ไม่ได้ถามคนอื่นแต่ก็ยังยืนยันว่าไม่กล้าถามจริงๆ ตั้งแต่ที่พี่เตือนในไลน์ดีไม่กล้าคุยกับเอิร์ทด้วยซ้ำตอนแรก ดีไม่กล้าคุยกับใครเลยกับไอข้าวก็ไม่ได้พูดให้ฟัง ได้แต่พูดว่าพี่ขวันโกรธกูแน่ๆกูรู้แต่กูไม่กล้าถาม,unclassifiable
หนูโกรธไยเฮียคะ,anger
“ ไม่ได้โกรธ ทำไมฉันจะต้องไปโกรธด้วยเรื่องแค่นี้ด้วยวะ ! ” ีหน้าหงุดหงิด,anger
เกินไปหน่อยอะแบบนี้ กฏหมายหรือกฏหมู่ ลงมาซะเต็มคันรถเลย ถ้าเขาผิดก็ลงโทษเขาว่ากันไปทีละขั้นตอนดิ ไม่ใช่มาล้อมงี้ กุโกรธ กุฟ้องพี่หนุ่มแม่ง,anger
โกรธแบรนนิวด้วย อยากหอบศลปหนี,anger
ยูทูบแกโกรธไรตึกชมพูปะ,anger
โกรธจริงนะ แทนที่เด็กจะได้ฉีดไฟเซอร์อ่ะ แต่ผปค.ไม่ให้ฉีด เพราะเชื่อมั่นในซิโนฟาร์ม และบอกว่าผลข้างเคียงน้อยกว่า เนื่องจากไฟเซอร์ไม่เหมาะกะเด็ก ตามที่นายแพทย์หัวหงอกท่านนึงได้กล่าวเอาไว้ โดยไม่บอกให้เต็มๆว่า อาการกล้ามเนื้อหัวใจอักเสบ เด็กที่ฉีดไฟเซอร์คนนั้นรักษาหายแล้ว,anger
โคตรโกรธเลยเวลาที่เห็นหน่วยงานรัฐทำอะไรแบบนี้กับประชาชน ไอเหี้ยเอ้ย,anger
โกรธเอ็มเน็ตมาก เป็นไรอะ,anger
อีเหี้ยตัวอย่างของหมิงรื่ออีพีที่กำลังมากูเตรียมน้ำตาตก ดูเดือดอ่ะหยวนบอดว่ามันดูยุ่งเหยิงไปหมด เหล่าซืออีกคนบอกโกรธด้วย ไม่รู้อย่าตัดเหี้ยอีเท็นเส้น,anger
เอาจริงวันรับเพื่อนใหม่ที่มธท่าพระจันทร์มันขลังมากนะแบบนั่งในสนามแล้วดูจอฉายเหตุการณ์รับรู้ว่ามันเคยเกิดเหตุการณ์สังหารหมู่แล้วมันโคตรเศร้าโกรธผสมกันไปหมด,anger
โกรธเพราะหิวแต่ไม่ได้กินเหรอคุณยาย,anger
ความคิดถึงที่มีมันจะหายไปต่อเมื่อเราโกรธจริงๆอ่ะ,anger
เพื่อนบางกลุ่มโกรธที่เพื่อนหายไปหาผัว แต่เพื่อนเราคือยินดีด้วยค่ะ เชิญหายไปเป็นปีได้เลย นานๆมีที อย่าให้เพื่อนขัดขวาง,unclassifiable
อย่าคิดว่ากุจะไม่โกรธความอดทนมีขีดจำกัดนะ กุก็ชอบในพื้นที่ของกุเนาะไม่ได้ไปเบียดเบียนมุงสักหน่อย,anger
โกรธ,anger
ทำไม๊ ไม่ได้เข้าจอยนานมาก ไม่คิดว่าจะโกรธขนาดนี้ ฮรึกๆๆแง่งๆๆๆ,unclassifiable
พี่ขวันในวันที่โดนโกรธหรืออะไรถ้าพี่ไม่แสดงออกให้หนูรู้หนูก็ไม่มีทางรู้ พี่เป็นคนที่เคยบอกเรื่องนี้เอง ดีถึงไม่รู้จะเข้าไปถามพี่ยังไงไงละ,unclassifiable
ชอบจังคนที่พยายามหาเรื่องมาคุยกับเราไปเรื่อยๆแบบที่ไม่ต้องพยายามแค่ฝ่ายเดียว,unclassifiable
กุโกรธอีค่ายเหี้ยนี้จนนอนไม่หลับ เหี้ยอย่างที่คิดไว้จริงๆ,anger
ม่าย อย่าโกรธน้อง,unclassifiable
โกรธมาก บีบสิวแล้วสิวหายเหลือแต่เลือด สิวขึ้นขมับสองข้าง เจ็บชิบหาย,anger
ต้องมาเล่าไม่งั้นโกรธ,anger
"""นี่เจ้าไปคุยกับคัตสึกิมาอีก?"" ""ทำไมรู้ละขอรับ อย่าโกรธผมนะ"" ""ไอ้บ้านั่นมันชอบทิ้งกลิ่นไว้ที่ตัวเจ้าประจำอาได้กลิ่นแล้วหงุดหงิด"" ท่านอาทำหน้าปุเลี่ยนเอาชายผ้าตรงแขนมาปิดจมูก ""กลิ่นอะไรกันครับ มีแต่กลิ่นเหงื่อที่ผมทำงาน"" แล้วก็ทำหน้ามู่ทู่ใส่ตัวเองหลังจากดม (20",unclassifiable
ไม่ให้โกรธ,unclassifiable
(แต่เป็นนจวอะ ไม่โกรธก็ได้คับ สมร้อยรอบก็ไม่โกรธหรอกนะ พี่รักน้อง),unclassifiable
โกรธชิบหาย อีเหี้ย,anger
ในบรรดาคนที่เราเคยโกรธ เกลียดจริงๆ คือเกิดจากการทำงาน ก็เลยรู้สึกว่าออฟฟิศคือสนามรบ ี่อื่น ถ้าสัมพันธ์กันมาก่อน มันโกรธไม่เต็มที่ ยังมีเยื่อใย แต่ในสงครามสำนักงาน คือไม่เผาผีละ จบ ตลอดชีวิต,anger
ใครชงพ่อแทยงเป็นหมา กูโกรธแล้วนะ ขอร้อง,anger
คือเพลงบอกแปกอะไม่โกรธนะ แต่แกมาบอกว่าเพลงเขาไม่ดีอะอันนี้โกรธมาก ถ้าแกเรียนมาแกจะรู้ว่ามันไม่ใช่ง่ายๆเลยที่จะทำมันออกมาได้แบบนี้ แกอย่างสักแต่จะวิจารณ์ดิ แกไม่มีความรู้ แล้วแกก็ไม่รักเ��าด้วย แกน่พ ไปแดกขี้!,anger
กุโกรธใคร โกรธประเทศที่กำลังจะพัฒนาได้ดีและดูมีแวว ต้องมาดับสลายไปเป็นหางแถว ประเทศที่คนแทบจะไม่ปลายตามอง ถ้ามึงไม่มีธรรมชาติและคนในประเทศที่พัฒนากันเอง แต่พอเขาดังเขาได้ดี อิหัวเทาหัวหงอกก็ดี้ด้าไปเอาหน้า ทุเรด,anger
แฟนเผลอหลับไม่บอก โกรธมากเลยบอกเลิกกันเหอะ,anger
ไม่ล่ะ .โกรธ,anger
"(๑) ""คนผู้โกรธ ถูกความโกรธครอบงำย่ำยีแล้ว แม้จะอา��น้ำ ไล้ทา ตัดผม โกนหนวด นุ่งผ้าขาวสะอาดแล้วก็ตาม""",anger
ยากนะการพูดตลกร้ายให้ตลก อยู่ที่อารมณ์คนฟังวันนั้นล้วนๆ์ดี ก็เลยรับได้กับทุกคำพูด เผลอๆ แรงกว่าวันที่เครียดอีก แต่อารมณ์ดีก็เลยไม่โกรธ ไม่เศร้า ไม่อะไรเลย ่วันเครียดคือ...พูดออกมาได้ เฮงซวย! กลับมาดูวันอารมณ์ดี จริงๆ มันก็มาทำให้เราไม่เครียดแหละ แต่ตอนนั้นมู้ดกูบ่จอย,unclassifiable
อื้อหือยิ่งดูยิ่งโกรธมีการไปเปิดกล่องข้างหลังเพิ่มอีกนะ คือมึงก็มีเงินเดือนป่ะละลุงแกหาเช้ากินค่ำ,anger
อันนี้เหี้ยมาก สันดานอ่ะ โกรธแทนคุณลุง,anger
เอาแต่ชมผมอยู่อย่างเดียว แต่ถ้าไม่ทำนะ จะโกรธๆเลยคอยดู,anger
ตกหนักเหมือนโกรธใคร,anger
ไม่อยากไปร้องเพลงละอ่า,unclassifiable
เพื่อนที่ดี คือเพื่อนที่ดองแชทกันแล้วไม่โกรธ,unclassifiable
เขาหัวเราะ “พอมาเป็นแบบนี้ ยิ่งยากไปใหญ่เลยครับ” ็นด้วยกับคุณ การจะเดาสุ่มคนมาคงไม่ง่ายเท่าไหร่ “เป็นผมก็เลือกคนใกล้ตัวนะ” “ผมไม่ค่อยเก่งน่ะ แต่ดีแล้วล่ะ” ที่คุณ อะไรนะ- คุณเซนไม่โกรธ ึกถึงเหตุการณ์อีก..ื่องบินที่เริ่มแลนดิ้งด้วย “หนังกี่ชั่วโมงนะครับ”,unclassifiable
เห็นแล้วโกรธนะ,anger
กุโกรธพี่จี๊ดอิ้หี้ย ฮือ,anger
หายไปไหน หลับจะโกรธ มันใช่เวลานอนไหมคะเด็ก ๆ,anger
พูดถึงไอแลนด์กับเจ้าเจย์นะ นึกถึงตอนตัวเองอันดับตกแล้วคิดว่าได้ออกแน่ๆจึงเขียนจดหมายให้ทุกคนอ่ะ ทำไมเป็นเด็กดีขนาดนี้คะ น่ารักมากๆ แต่รายกาาชอบตัดซีนแย่!โกรธ!,unclassifiable
ไอควาย รีล่ากุโกรธ โกรธมาก มากๆ ไอเหี้ย ไปตายให้หมด สัด ร้องไผ้เลยกุ,anger
ใครโกรธ,unclassifiable
โกรธ,anger
เพราะแกเข้าใจถึงอารมณ์โกรธของคนเสื้อแดงต่อพรรคปชป.ขณะนั้น ซึ่งแกเป็นรองหัวหน้าพรรคซึ่งทุกคนทราบดี ตอนแรกที่แกเข้าไปในม็อบแกเล่าให้ฟังว่าคนกำลังตะโกนอภิสิทธิ์ออกไป และพอเห็นแกก็เปลี่ยนเป็นไกรศักดิ์ออกไปและเริ่มชุลมุน พิธิกรขณะนั้นคือคุณแซม ยุรนันท์ซึ่งพยายามจะหยุดเหตุการณ์ดังกล่าว,unclassifiable
เคยโดนโกรธไหมๆๆๆ ทำไงๆๆ,unclassifiable
คนมีศีล มีธรรม ความรัก ความเมตตา มอบให้แก่ทุกสรรพสิ่งบนโลกเป็น ละความโกรธ ความแค้น พยาบาท และเลือกลืมความบาดหมางในใจจากภาพสงครามในอดีตได้ ยิ่งรู้ทันภาพมายาที่สังคมใช้หลอกลวง แล้วก้าวเท้าออกตัววิ่งทันโลกปัจจุบันที่เปลี่ยนไปแล้วในทุกด้าน ได้ทันการณ์>,unclassifiable
เพื่อนที่เรียก ไอบิดแล้วไม่โกรธ คือเพื่อนตอนประถม,unclassifiable
รีบ่า เห้ย้เหี้ยมากพวกคนแบบนี้ไม่เห็นใจคนทำมาหากินเลยอะ โกรธ,anger
ไม่โกรธ รักก,unclassifiable
ละคือกูเครียดลงกระเพาะ ถามกู ละยังไง เค้าทำให้เธอเครียดหรอ กูแบบ เอ้า ก็มึงโกรธกูก็เครียด แปลกตรงไหน นี่แก้ปหในแบบของกุ ก็บอกทำเพื่อไรอะ มันไม่เกี่ยว คือเธอแค่ไม่ทำอีก อะ พูดมากี่รอบละ กูก็พูดหลายรอบ อธิบายทุกรอบ ว่ามันคือการโมติเวท ไม่ชู้สาว,anger
 ,anger
so sorry นาจา หัวน้องมีพื้นที่ให้เอาเครื่องหมายโกรธไปแปะได้พอดีเลย ้ากับเนื้อหา slide ดีมาก แง้ววว,unclassifiable
โกรธชหตรงที่โผล่มาแอคนี้ชั้นไม่เห้นประเด้นนี้เลยอะ ทำไมหรอ ค่ายไม่ใหญ่ไม่ใช่วงที่ดังชิบหายวายวอดเลยไม่มีใครสนใจหรอ,anger
อยากมี ง,unclassifiable
ทรมานพระเอกนานๆ โกรธนานๆ ควงผู้ใหม่มาเย้ย ปล.เราดูจากสปอย เหมือนนางเอกเข้าโรงพยาบาลพระมีฉากนั่งบนรถเข็น เราเดาว่านางแท้งรึเปล่าคะ,unclassifiable
จะร้องไห้เเล้ว โกรธ โกรธมาก น้อยใจ,anger
ตาหวานเคยโกรธใครมั้ย ลองโกรธเราก็ได้ แกต้องเป็นคนแข็งแกร่งขึ้นมาต่อกรกับอุสานนะ,unclassifiable
